ad_id,campaign_name,placement,spend,impressions,clicks,installs,signups,trials,adj_trials,trial_converts,init_purch,adj_init_purch,v3s,thruplays
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,1229.32,221782,3370,108,70,18,30.89,0,6,0.0,61399,1187
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,18.5,11582,53,0,0,0,0.0,0,0,0.0,0,0
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,315.81,30717,625,17,10,5,8.23,0,1,0.0,7292,125
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,2016.13,282066,3764,186,99,53,89.04,0,14,0.0,76838,1665
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_explore_grid_home,2.51,1371,3,0,0,0,0.0,0,0,0.0,880,10
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,2988.95,471596,7768,255,159,70,116.65,0,20,0.0,116579,1450
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,368.8,62214,983,18,3,4,7.06,0,0,0.0,6101,672
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,62.53,8717,260,2,0,0,0.0,0,2,0.0,4586,59
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,2.51,1031,10,0,0,0,0.0,0,0,0.0,197,2
120242147246810167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,6.52,1640,10,0,0,0,0.0,0,0,0.0,366,4
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,0.43,289,3,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,0.01,1,0,0,0,0,0.0,,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_profile_feed,0.08,38,0,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,0.35,62,1,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,0.8,895,7,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,2.21,783,9,0,0,0,0.0,0,0,0.0,0,0
120242508326330167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,9.92,3213,21,0,0,0,0.0,0,0,0.0,0,0
