af_ad_id,af_ad,campaign,af_installs,af_signups,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,af_trial_cancelled,af_rc_purchase,af_trial_or_purchase,af_top_rev
120247430470740167,c1:UGC53_c2:video_c3:ugc_c4:valueprop_c5:ongoing_c6:na_c7:painpoint_c8:hayes-2026learnenglish,hk_meta_standard_ios_tw-en_pros_trial_ongoing_winning2,2,2,,,,,,,,
6932691353792,c1_CL-4-759-4.24.26_c2_video_c3_ugc_c4_Functional-General-Comparison_c5_ongoing_c6_Gio_c7_top-3-things-I-tell-my-students-to-never-do-from-a-fromer-no-sabo-current-spanish-teacher-38s_c8_New_P2_HIT,us_meta_standard_iOS_en-xx_pros_trial_ongoing_no-disc_BAU_cousin-labs,2,2,,,,,,,,
120246569640080167,c1:UGC53_c2:video_c3:ugc_c4:valueprop_c5:ongoing_c6:na_c7:sbslong_c8:vivian-oneweektwohrs-volume,HK_Meta_N/A_iOS_Trials_AEM,6,2,,,,,,,,
52510568577996,c1:E1119-20260807_c2:video_c3:influencer_c4:productdemo_c5:ongoing_c6:hicocoishere__igr_2_c7:Shadowing-R3-c-only_c8:na,JP_Meta_iOS_Start_Trial_AEM_Personas,4,,,,,,,,,
120249439358940167,c1!Static_c2!image_c3!generic_c4!campaign_c5!promo_c6!na_c7!26Q3Campaign_c8!SpecialPopup-Yearly4774-1080x1080,tw_meta_standard_web_tw-en_pros_purchase_promo_disc_TW_26Q3_BrandCampaign_rtg,4,2,,,,,,,,
6973843095592,c1-10SCL_SPEAK-175_10Sc_ABR26_ITR_103_IN_V-U_1_duo_c2-041126_P2_HIT,us_meta_standard_iOS_en-xx_pros_trial_ongoing_no-disc_BAU_10scale,2,,,,,,,,,
6984060547992,c1:E886-20260618_c2:video_c3:influencer_c4:entertainment_c5:ongoing_c6:imukenbb_yts_1_c7:イムケン-R2_c8:na,JP_Meta_iOS_Start_Trial_AEM_Personas,,,,,,,,,,
120249069950380167,c1!UGC_c2!video_c3!whitelist_c4!productdemo_c5!ongoing_c6!MIP-sunthings_c7!lifestyle.sharing_c8!canada-internship,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,16,14,,,,,,,,
120246363710910167,c1:UGC6_c2:video_c3:ugc_c4:problemsolution_c5:ongoing_c6:Qing_c7:EnglishIntrovert_c8:na,tw_meta_standard_ios_tw-en_pros_trial_ongoing_wining2,20,12,,,,,,1,,
120249439270290167,c1!n/a_c2!video_c3!generic_c4!campaign_c5!promo_c6!na_c7!26Q3Campaign_c8!brandvideo-30s - 複本,tw_meta_video_web_tw-en_pros_awareness_promo_disc_26Q3-Campaign_M3_brandmarketing,40,8,,,,,,6,1,753.0
6901176711192,c1_CL-1-124-1.23.26_c2_video_c3_ugc_c4_Emotional-Family-Proof_c5_ongoing_c6_Susie_c7_convo-facetime-mom-showing-improved-spanish-42s_c8_New_HW_SCD_TOP_HIT,us_meta_standard_iOS_en-xx_pros_trial_ongoing_no-disc_BAU_cousin-labs,2,,,,,,,,,
120246329470270167,c1:UGC16_c2:video_c3:ugc_c4:productdemo_c5:ongoing_c6:na_c7:causal_c8:violet-noengenvironment,HK_Meta_N/A_iOS_Trials_AEM,2,,,,,,,,,
6962529673792,c1!260602_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!socialmedia_c8!free-lesson-memo-01,kr_meta_standard_app_ios_kr-en_pros_register_ongoing_no-disc,2,2,,,,,,,,
120250258111880167,c1!UGC_c2!video_c3!whitelist_c4!productdemo_c5!ongoing_c6!MIP-christines_talk_c7!oneshot.lifestyle_c8!english-environment_c9!app-cpr,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,,,,,,,,,,
120249604308350167,c1!Static_c2!image_c3!generic_c4!campaign_c5!promo_c6!na_c7!26Q3Campaign_c8!Blog-speak-learning-method-review,tw_meta_standard_web_tw-en_pros_purchase_promo_disc_TW_26Q3_BrandCampaign_rtg,8,4,,,,,,,,
120249669893320167,c1!Motion_c2!video_c3!generic_c4!campaign_c5!promo_c6!na_c7!26Q3Campaign_c8!CompareCoffee-1080x1920_scaling,tw_meta_standard_web_tw-en_pros_purchase_promo_disc_TW_26Q3_BrandCampaign_asc_scaling,4,,,,,,,2,,
6956701466392,c1:E666-20260519_c2:video_c3:ugc_c4:valueprop_c5:ongoing_c6:ai_c7:we are sorry_c8:na,JP_Meta_iOS_Trial_Advantage+,2,,,,,,,,,
6915185369992,c1:10SCL_SPEAK-158_10Sc_26MAR11_ITR_134_2S_v6_vid_meme_per_c2:031426_HW_P2_HIT,us_meta_standard_iOS_en-xx_pros_trial_ongoing_no-disc_BAU_10scale,2,,,,,,,,,
