ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point
120248341533720167,149.98000000000002,99030,399,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!outcome_c8!1yeartimeline-career-mnc-10mins-1080x1350,,,,,2026-06-30,2026-07-17,15.0,Testing,generic – na – outcome,static_c2,0.0,0.0,,0.004029082096334444,0.0,2.0,0.82,82.7,10.0,4.0,4.0,0.0,0.0,0.42829090867554986,Pause,False,False
120248341545680167,56.989999999999995,58156,200,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!valueprop_c8!appnotice-career-1200x628,,,,,2026-06-30,2026-07-18,16.0,Testing,generic – na – valueprop,static_c2,0.0,0.0,,0.003439026067817594,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4564233251202318,Pause,False,False
120248341547190167,110.88,75822,384,3,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!outcome_c8!3750sentences-1200x628,,,,,2026-06-30,2026-07-18,17.0,Testing,generic – na – outcome,static_c2,0.03956635277360133,0.0,,0.00506449315502097,0.0,2.0,0.81,82.2,18.0,4.0,4.0,0.0,0.0,0.4455813291047198,Pause,False,False
120248341548470167,36.26,23037,137,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!valueprop_c8!compareboba-1200x628,,,,,2026-07-01,2026-07-11,8.0,Testing,generic – na – valueprop,static_c2,0.0,0.0,,0.005946954898641316,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5593388728791175,Pause,False,False
120248341561120167,487.97,194727,1081,23,7,14.4,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!motion_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!outcome_c8!3750sentences-1080x1920,,,,,2026-06-30,2026-07-19,20.0,Testing,generic – na – outcome,motion_c2,0.11811407765743835,0.03594776276530733,69.71000000000001,0.005551361649899603,0.0,11.0,4.44,449.5,68.0,22.0,15.0,3.0,4.0,2.5722539937937166,Phase 1 Winner,True,False
120248341577480167,942.27,277290,2309,36,18,34.37,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!video_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!credibility_c8!connor-keyskillsintheaiera-2cut,,,,,2026-06-30,2026-07-06,7.0,Testing,generic – na,video_c2,0.12982797792924375,0.06491398896462187,52.34833333333333,0.008327022251072885,0.0,17.0,6.99,707.4,84.0,30.0,10.0,14.0,4.0,2.7951245000307545,Phase 2 Winner,True,True
120248489704700167,3975.5699999999997,855525,15023,208,61,99.14,4,2.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!ugc_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!swm-jenny_c7!scenario_c8!salarynegotiation_winning,,,,,2026-06-30,2026-07-07,8.0,Winning,ugc – swm-jenny – scenario,ugc_c2,0.24312556617281786,0.07130124777183601,65.17327868852459,0.01755997779141463,6.0,98.0,40.53,4103.6,452.0,112.0,80.0,15.0,11.0,2.793937479850682,Phase 1 Winner,True,False
120248526868210167,3158.94,713599,12770,169,49,78.51,3,1.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!ugc_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!swm-jenny_c7!scenario_c8!salarynegotiation_winning_ccp-control,,,,,2026-07-01,2026-07-04,4.0,Winning,ugc – swm-jenny – scenario,ugc_c2,0.23682768613745256,0.06866601550730873,64.46816326530612,0.017895204449557806,4.0,97.0,39.68,4017.5,354.0,97.0,71.0,18.0,8.0,2.7350738188864248,Phase 1 Winner,True,False
120248530261670167,668.82,132304,2750,67,14,28.689999999999998,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!brianptseng_c7!product_c8!og-video,,,,,2026-07-01,2026-07-03,3.0,Testing,influencer – brianptseng – product,na_c2,0.5064094811948241,0.10581690651832144,47.77285714285715,0.02078546378038457,0.0,18.0,7.36,745.4,124.0,34.0,24.0,6.0,4.0,3.220084186590388,Phase 2 Winner,True,True
120248612012470167,7804.69,1110140,19560,522,121,212.58,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!brianptseng_c7!product_c8!og-video_scaling,,,,,2026-07-03,2026-08-02,31.0,Scaling,influencer – brianptseng – product,na_c2,0.47021096438287063,0.10899526185886466,64.50157024793388,0.017619399355036303,0.0,114.0,45.71,4629.1,866.0,186.0,146.0,20.0,12.0,3.047126534384584,Phase 1 Winner,True,False
