ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point,ltv_cac,signups,days,cpi,cps,cpm,ipc,signup_rate,spm,tpi_ssot,spend_per_day,vel_ratio
120247011566490167,47.8,37834,150,2,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!valueprop_c8!appnotice-norush-1080x1080,,,,,2026-06-12,2026-06-24,13.0,Testing,generic – na – valueprop,static_c2,0.0528625046254691,0.0,,0.0039646878469101,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5624401062091386,Pause,False,False,0.0,1.0,13,23.9,47.8,1.2634138605487126,0.013333333333333334,0.5,0.026431252312734577,0.0,3.6769230769230767,0.09070591690066611
120247011569420167,157.86,120953,452,1,1,2.72,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!valueprop_c8!appnotice-noanxiety-1200x628,,,,,2026-06-12,2026-06-27,15.0,Testing,generic – na – valueprop,static_c2,0.008267674220565,0.008267674220565,157.86,0.0037369887476953,0.0,2.0,0.81,83.4,18.0,4.0,4.0,0.0,0.0,1.5159792135375847,Mid-Tier,False,False,0.534,1.0,15,157.86,157.86,1.3051350524583931,0.0022123893805309734,1.0,0.008267674220565012,2.0,10.524000000000001,0.2596162741216304
120247011578560167,165.35,44354,502,4,1,3.04,0,1.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!ai-gen_c7!outcome_c8!workplace-colleaguecompliment_2practice,,,,,2026-06-12,2026-06-24,13.0,Testing,ugc – ai-gen – outcome,ugc_c2,0.0901835234702619,0.0225458808675654,165.35,0.0113180321955178,1.0,1.0,0.41,42.1,14.0,3.0,3.0,0.0,0.0,1.164835925101747,Pause,False,False,0.0,5.0,13,41.3375,33.07,3.727961401451955,0.00796812749003984,1.25,0.11272940433782747,0.25,12.71923076923077,0.3137703631699821
120247011579390167,151.79999999999998,45256,543,2,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!ai-gen_c7!outcome_c8!workplace-colleaguecompliment_3display,,,,,2026-06-12,2026-06-24,13.0,Testing,ugc – ai-gen – outcome,ugc_c2,0.044193035177656,0.0,,0.0119984090507336,0.0,1.0,0.42,43.2,14.0,2.0,0.0,2.0,0.0,0.8409785388711829,Pause,False,False,0.0,2.0,13,75.89999999999999,75.89999999999999,3.35425136998409,0.003683241252302026,1.0,0.044193035177656007,0.5,11.676923076923076,0.28805770262596475
120247011580490167,717.0,158050,1241,37,13,32.36,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!ai-gen_c7!outcome_c8!workplace-colleaguecompliment_1direct,,,,,2026-06-12,2026-06-24,13.0,Testing,ugc – ai-gen – outcome,ugc_c2,0.2341031319202784,0.0822524517557734,55.15384615384615,0.0078519455868396,0.0,16.0,6.46,667.6,94.0,33.0,27.0,4.0,0.0,3.30751854512372,Phase 1 Winner,True,False,0.847,31.0,13,19.37837837837838,23.129032258064516,4.536539069914584,0.029814665592264304,0.8378378378378378,0.19614046187915216,0.43243243243243246,55.15384615384615,1.3605887535099916
120247187088560167,216.33,54296,706,1,2,4.99,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!chuchushoetw_c7!valueprop_c8!og-video,,,,,2026-06-15,2026-06-16,2.0,Testing,influencer –  – valueprop,na_c2,0.0184175629880654,0.0368351259761308,108.165,0.0130027994695741,0.0,2.0,0.8,82.3,16.0,4.0,4.0,0.0,0.0,1.9173159635204475,Mid-Tier,False,False,0.39,2.0,2,216.33,108.165,3.9842714012081926,0.00141643059490085,2.0,0.03683512597613083,2.0,108.165,2.6683194878721164
120247189268040167,2576.62,678218,4175,59,10,25.77,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!garytalk369_c7!valueprop_c8!og-reels,,,,,2026-06-15,2026-06-28,14.0,Testing,influencer – garytalk369 – valueprop,na_c2,0.0869926778705372,0.0147445216729724,257.662,0.0061558377984659,0.0,20.0,8.36,863.3,198.0,41.0,33.0,6.0,0.0,1.37096548404795,Pause,False,False,0.296,37.0,14,43.67152542372881,69.63837837837838,3.799102943301416,0.014131736526946107,0.6271186440677966,0.05455473018999791,0.3389830508474576,184.0442857142857,4.54018355478142
120247235137270167,243.91,48489,1206,4,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!scps_jia_c7!product_c8!og-reels,,,,,2026-06-15,2026-06-16,2.0,Testing,influencer –  – product,na_c2,0.0824929365423085,0.0,,0.024871620367506,0.0,4.0,1.6,164.9,32.0,9.0,8.0,1.0,0.0,2.022129288695313,Pause,False,False,0.456,3.0,2,60.9775,81.30333333333333,5.03021303800862,0.003316749585406302,0.75,0.061869702406731425,1.0,121.955,3.0085046285161
120247235677870167,382.5,100399,1347,3,1,2.53,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!techtips_c7!valueprop_c8!og-reels,,,,,2026-06-15,2026-06-30,13.0,Testing,influencer – techtips – valueprop,na_c2,0.0298807757049373,0.0099602585683124,382.5,0.0134164682915168,0.0,2.0,0.83,84.9,8.0,0.0,0.0,0.0,0.0,1.2330897259415403,Pause,False,False,0.223,3.0,13,127.5,127.5,3.809798902379506,0.0022271714922048997,1.0,0.0298807757049373,0.6666666666666666,29.423076923076923,0.7258370965377571
120247254596060167,31.54,8052,96,3,1,2.73,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1_na_c2_video_c3_influencer_c4_valueprop_c5_promo_c6_petersunreview_c7_justspeak_c8_0616,,,,,2026-06-15,2026-06-21,6.0,Testing,c1_na_c2_video_c3_influencer_c4_valueprop_c5_promo_c6_petersunreview_c7_justspea,Untagged,0.3725782414307004,0.1241927471435668,31.54,0.0119225037257824,0.0,1.0,0.4,41.7,6.0,2.0,2.0,0.0,0.0,4.47812280220455,Pause,False,False,0.0,2.0,6,10.513333333333334,15.77,3.917039244908097,0.03125,0.6666666666666666,0.24838549428713363,0.3333333333333333,5.256666666666667,0.129676569203665
120247256194240167,199.21,52537,560,13,4,10.75,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!video_c3!whitelist_c4!testimonial_c5!ongoing_c6!swm-tsai_c7!testimonial_c8!2-weeks-testmonial,,,,,2026-06-15,2026-06-24,10.0,Testing,whitelist – swm-tsai – testimonial,ugc_c2,0.2474446580505168,0.0761368178616974,49.8025,0.0106591545006376,0.0,5.0,2.03,209.6,32.0,10.0,6.0,2.0,0.0,2.804666427014676,Phase 1 Winner,True,False,0.934,8.0,10,15.323846153846155,24.90125,3.7918038715571885,0.023214285714285715,0.6153846153846154,0.15227363572339492,0.38461538461538464,19.921,0.4914306154292093
